session,ts,bias,entry,stop,signed_dist
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
2024-08-07,2024-08-07 13:25:00-04:00,1,18234.0,18279.75,-45.75
