entry_ts,exit_ts,session,side,entry_price,exit_price,stop_price,tp1_price,runner_target_price,contracts,risk_dollars,pnl,gross_pnl,tp1_hit,reason,sweep_pool
2013-01-23 15:05:00-05:00,2013-01-23 16:00:00-05:00,2013-01-23,1,3020.5,3033.25,3010.0,3036.25,3038.75,15,315.0,367.5,382.5,False,session_flatten,equal_low
2013-04-15 15:25:00-04:00,2013-04-15 16:00:00-04:00,2013-04-15,-1,3044.25,3027.0,3059.75,3021.0,3018.0,10,310.0,395.0,405.0,True,runner_session_flatten,equal_high
2013-06-14 15:25:00-04:00,2013-06-14 16:00:00-04:00,2013-06-14,-1,3211.0,3203.0,3225.0,3190.0,3189.25,11,308.0,165.0,176.0,False,session_flatten,equal_high
2013-10-31 15:00:00-04:00,2013-10-31 16:00:00-04:00,2013-10-31,-1,3878.75,3861.25,3892.25,3858.5,3855.75,12,324.0,441.0,453.0,True,runner_session_flatten,equal_high
2013-11-15 10:50:00-05:00,2013-11-15 11:55:00-05:00,2013-11-15,-1,4103.25,4075.5,4116.25,4083.75,4075.5,12,312.0,555.0,567.0,True,runner_target,equal_high
2013-11-27 15:20:00-05:00,2013-11-27 16:00:00-05:00,2013-11-27,-1,3960.75,3964.75,3971.75,3944.25,3943.75,14,308.0,-126.0,-112.0,False,session_flatten,equal_high
2013-12-30 15:50:00-05:00,2013-12-30 16:00:00-05:00,2013-12-30,-1,3991.25,3995.0,4004.5,3971.375,3969.25,12,318.0,-102.0,-90.0,False,session_flatten,equal_high
2014-04-09 15:15:00-04:00,2014-04-09 16:00:00-04:00,2014-04-09,1,4822.5,4828.5,4788.25,4873.875,,4,274.0,44.0,48.0,False,session_flatten,equal_low
2014-04-14 10:45:00-04:00,2014-04-14 16:00:00-04:00,2014-04-14,-1,4668.0,4667.75,4690.0,4635.0,4633.5,7,308.0,-3.5,3.5,False,session_flatten,equal_high
2014-04-16 15:30:00-04:00,2014-04-16 15:45:00-04:00,2014-04-16,1,4816.0,4839.75,4802.5,4836.25,4839.75,12,324.0,516.0,528.0,True,runner_target,equal_low
2014-04-28 10:55:00-04:00,2014-04-28 11:11:00-04:00,2014-04-28,-1,4894.0,4910.25,4910.0,4870.0,4864.25,10,320.0,-335.0,-325.0,False,stop,equal_high
2014-05-07 15:55:00-04:00,2014-05-07 16:00:00-04:00,2014-05-07,-1,5078.75,5079.5,5101.25,5045.0,5043.25,7,315.0,-17.5,-10.5,False,session_flatten,equal_high
2014-05-16 12:15:00-04:00,2014-05-16 14:42:00-04:00,2014-05-16,-1,4943.5,4902.5,4970.5,4903.0,4902.5,6,324.0,483.0,489.0,True,runner_target,equal_high
2014-06-04 15:05:00-04:00,2014-06-04 16:00:00-04:00,2014-06-04,-1,5398.5,5406.25,5420.75,5365.125,5363.25,7,311.5,-115.5,-108.5,False,session_flatten,equal_high
2014-06-30 15:45:00-04:00,2014-06-30 16:00:00-04:00,2014-06-30,1,5024.25,5023.25,4999.5,5061.375,5066.0,6,297.0,-18.0,-12.0,False,session_flatten,prior_day_low
2014-07-18 11:20:00-04:00,2014-07-18 11:30:00-04:00,2014-07-18,1,4708.5,4686.25,4686.5,4741.5,4744.75,7,308.0,-318.5,-311.5,False,stop,equal_low
2014-07-31 11:15:00-04:00,2014-07-31 15:14:00-04:00,2014-07-31,1,4852.75,4897.25,4824.0,4895.875,4897.25,5,287.5,433.125,438.125,True,runner_target,equal_low
2014-10-09 12:35:00-04:00,2014-10-09 12:41:00-04:00,2014-10-09,1,5581.5,5565.25,5565.5,5605.5,5613.25,10,320.0,-335.0,-325.0,False,stop,equal_low
2014-10-20 12:15:00-04:00,2014-10-20 13:44:00-04:00,2014-10-20,-1,5607.25,5569.0,5629.0,5574.625,5569.0,7,304.5,489.125,496.125,True,runner_target,equal_high
2014-11-14 13:55:00-05:00,2014-11-14 14:18:00-05:00,2014-11-14,-1,5754.25,5774.5,5774.25,5724.25,5718.5,8,320.0,-332.0,-324.0,False,stop,equal_high
2014-12-23 10:30:00-05:00,2014-12-23 10:44:00-05:00,2014-12-23,1,5433.75,5423.25,5423.5,5452.75,5457.75,15,307.5,-330.0,-315.0,False,stop,equal_low
